t,x,y
0.0000000000,0.9999984503,-0.0010236063
0.0000100000,0.9999984503,-0.0010236063
0.0099999560,0.9999975562,-0.0010236063
0.0199899729,0.9999932051,-0.0010236063
0.0299805142,0.9999809861,-0.0010236063
0.0399694294,0.9999536872,-0.0010236063
0.0499581099,0.9999005198,-0.0010236063
0.0599467903,0.9998089075,-0.0010236063
0.0699354708,0.9996618629,-0.0010236063
0.0799241513,0.9994399548,-0.0010236063
0.0899128318,0.9991223812,-0.0010236063
0.0999015123,0.9986816645,-0.0010236063
0.1098901927,0.9980929494,-0.0010236063
0.1198788732,0.9973235130,-0.0010236063
0.1298675537,0.9963397980,-0.0010236063
0.1398562342,0.9951100945,-0.0010236063
0.1498449147,0.9935928583,-0.0012059964
0.1598335952,0.9917478561,-0.0014441763
0.1698222756,0.9895395637,-0.0018221885
0.1798109561,0.9869198203,-0.0023355025
0.1897996366,0.9838447571,-0.0030500405
0.1997883171,0.9802756310,-0.0038020082
0.2097769976,0.9761677980,-0.0048461524
0.2197656780,0.9714761972,-0.0062048794
0.2297543585,0.9661551118,-0.0077687474
0.2397430390,0.9601697326,-0.0098057166
0.2497317195,0.9534805417,-0.0121834399
0.2597348988,0.9460505247,-0.0150735192
0.2697384655,0.9378474951,-0.0185171068
0.2797420323,0.9288445711,-0.0225806870
0.2897455990,0.9190115929,-0.0273131300
0.2997491658,0.9083244801,-0.0327872448
0.3097527325,0.8967658281,-0.0390970744
0.3197562993,0.8843417764,-0.0463088341
0.3297598660,0.8710095882,-0.0544910580
0.3397634327,0.8567548394,-0.0636921823
0.3497669995,0.8416179419,-0.0739981830
0.3597705662,0.8255385160,-0.0854765922
0.3697741330,0.8085293174,-0.0981485844
0.3797776997,0.7905816436,-0.1121002287
0.3897812665,0.7716845274,-0.1273670942
0.3997848332,0.7518244982,-0.1439961046
0.4097883999,0.7309911251,-0.1620244384
0.4197919667,0.7091566920,-0.1814788580
0.4297955334,0.6862990856,-0.2023950964
0.4397991002,0.6624003053,-0.2247729748
0.4498026669,0.6374052167,-0.2486498803
0.4598062336,0.6112809181,-0.2740440965
0.4698098004,0.5839622021,-0.3009380698
0.4798133671,0.5553914309,-0.3293601573
0.4898169339,0.5254907608,-0.3593100905
0.4998205006,0.4941707253,-0.3907691538
0.5098240376,0.4613301754,-0.4237335622
0.5198276043,0.4268419743,-0.4581840932
0.5298311710,0.3905676603,-0.4941112697
0.5398347378,0.3523398340,-0.5314615965
0.5498383045,0.3119660020,-0.5701898932
0.5598418713,0.2692180276,-0.6102198362
0.5698454380,0.2238334715,-0.6514388919
0.5798490047,0.1755087078,-0.6936756372
0.5898525715,0.1239039004,-0.7366736531
0.5998561382,0.0686599389,-0.7800339460
0.6098597050,0.0094506806,-0.8231342435
0.6198632717,-0.0538951382,-0.8650114536
0.6298668385,-0.1211534813,-0.9042268991
0.6398704052,-0.1913473904,-0.9388369918
0.6498739719,-0.2624898553,-0.9667007327
0.6598775387,-0.3318923116,-0.9862284064
0.6698811054,-0.3971191645,-0.9970524311
0.6798846722,-0.4567663670,-0.9999734163
0.6898882389,-0.5104848146,-0.9963509440
0.6998918056,-0.5585632920,-0.9875655770
0.7098953724,-0.6015498042,-0.9747809768
0.7198989391,-0.6400358677,-0.9589050412
0.7299025059,-0.6745690107,-0.9406253099
0.7399060726,-0.7056310177,-0.9204587340
0.7499096394,-0.7336270213,-0.8987951875
0.7599132061,-0.7589015961,-0.8759285808
0.7699167728,-0.7817497849,-0.8520854115
0.7799203396,-0.8024182320,-0.8274355531
0.7899239063,-0.8211238980,-0.8021110892
0.7999274731,-0.8380509615,-0.7762085199
0.8099310398,-0.8533580303,-0.7498012781
0.8199346066,-0.8671948314,-0.7229448557
0.8299381733,-0.8796851635,-0.6956781149
0.8399417400,-0.8909406662,-0.6680158973
0.8499453068,-0.9010636210,-0.6399817467
0.8599488735,-0.9101470113,-0.6115743518
0.8699524403,-0.9182760119,-0.5827882886
0.8799560070,-0.9255274534,-0.5536152124
0.8899595737,-0.9319655895,-0.5240567327
0.8999631405,-0.9376603961,-0.4940240979
0.9099667072,-0.9426654577,-0.4636135697
0.9199702740,-0.9470394850,-0.4327428937
0.9299738407,-0.9508269429,-0.4014650881
0.9399774075,-0.9540764093,-0.3696705699
0.9499809742,-0.9568271637,-0.3373668194
0.9599845409,-0.9591143131,-0.3045765758
0.9699881077,-0.9609661102,-0.2712428272
0.9799916744,-0.9624094963,-0.2373835742
0.9899952412,-0.9634665251,-0.2031777948
0.9999988079,-0.9641534686,-0.1684520096
1.0100023746,-0.9644837976,-0.1332406849
1.0200059414,-0.9644671679,-0.0977547094
1.0300095081,-0.9641123414,-0.0619175658
1.0400130749,-0.9634149075,-0.0257149767
1.0500166416,-0.9623715878,0.0107235480
1.0600202084,-0.9609751105,0.0471695065
1.0700237751,-0.9592258930,0.0837684795
1.0800273418,-0.9570991397,0.1204451770
1.0900309086,-0.9545887113,0.1570288986
1.1000344753,-0.9516715407,0.1936072260
1.1100380421,-0.9483295679,0.2299182862
1.1200416088,-0.9445377588,0.2659119666
1.1300451756,-0.9402840137,0.3015385866
1.1400487423,-0.9355233312,0.3367489278
1.1500523090,-0.9302452207,0.3714944422
1.1600558758,-0.9244185686,0.4057271481
1.1700594425,-0.9180042148,0.4393998682
1.1800630093,-0.9109716415,0.4724659026
1.1900665760,-0.9032998681,0.5048797727
1.2000701427,-0.8949538469,0.5365967155
1.2100737095,-0.8858910799,0.5675728917
1.2200772762,-0.8760766983,0.5977655649
1.2300808430,-0.8654808998,0.6271331310
1.2400844097,-0.8540614843,0.6556349397
1.2500879765,-0.8417906165,0.6834698319
1.2600915432,-0.8286352158,0.7104503512
1.2700951099,-0.8145607710,0.7365414500
1.2800986767,-0.7995316386,0.7617769241
1.2901022434,-0.7835166454,0.7861146927
1.3001058102,-0.7664881349,0.8093724251
1.3101093769,-0.7484188080,0.8314833045
1.3201129436,-0.7292843461,0.8525938988
1.3301165104,-0.7090646029,0.8726474643
1.3401200771,-0.6877440810,0.8914847374
1.3501236439,-0.6653105021,0.9090194106
1.3601272106,-0.6417558193,0.9253354669
1.3701307774,-0.6170893312,0.9402496815
1.3801343441,-0.5913037062,0.9537066817
1.3901379108,-0.5644100308,0.9656757116
1.4001414776,-0.5364469886,0.9759736657
1.4101450443,-0.5074143410,0.9846155047
1.4201486111,-0.4773751497,0.9914135337
1.4301521778,-0.4463558495,0.9963279963
1.4401557446,-0.4144197404,0.9992097616
1.4501593113,-0.3816258013,0.9999741316
1.4601628780,-0.3480521142,0.9985005260
1.4701664448,-0.3137713969,0.9946739674
1.4801700115,-0.2788847685,0.9883874059
1.4901735783,-0.2435031980,0.9795327783
1.5001771450,-0.2077212632,0.9679828286
1.5101807117,-0.1716609597,0.9536955357
1.5201842785,-0.1354399472,0.9365143180
1.5301878452,-0.0992037356,0.9164246321
1.5401914120,-0.0630870834,0.8933221698
1.5501949787,-0.0272335708,0.8671537638
1.5601985455,0.0082104113,0.8379805684
1.5702021122,0.0430976376,0.8056584597
1.5802056789,0.0772811025,0.7703909278
1.5902092457,0.1106156632,0.7320218682
1.6002128124,0.1429604590,0.6908289790
1.6102163792,0.1741795242,0.6467061639
1.6202199459,0.2041448504,0.5997883677
1.6302235126,0.2327364385,0.5507104993
1.6402270794,0.2598443925,0.4992427826
1.6502306461,0.2853694558,0.4455159605
1.6602342129,0.3092239201,0.3897561431
1.6702377796,0.3313304782,0.3320159316
1.6802413464,0.3516235650,0.2730028629
1.6902449131,0.3700472116,0.2124726027
1.7002484798,0.3865543306,0.1506493390
1.7102520466,0.4011055231,0.0882306397
1.7202556133,0.4136679769,0.0254632011
1.7302591801,0.4242121279,-0.0374048799
1.7402627468,0.4327101409,-0.1001251191
1.7502663136,0.4391329587,-0.1625700593
1.7602698803,0.4434481263,-0.2251793295
1.7702734470,0.4456170201,-0.2872363627
1.7802770138,0.4455910921,-0.3487776220
1.7902805805,0.4433093965,-0.4095896780
1.8002841473,0.4386930764,-0.4689196050
1.8102877140,0.4316447973,-0.5272734165
1.8202912807,0.4220404327,-0.5842733383
1.8302948475,0.4097256660,-0.6396967769
1.8402984142,0.3945091963,-0.6931918859
1.8503019810,0.3761568367,-0.7446661592
1.8603055477,0.3543830812,-0.7936235666
1.8703091145,0.3288456202,-0.8396170139
1.8803126812,0.2991509140,-0.8820669651
1.8903162479,0.2648728192,-0.9200298190
1.9003198147,0.2256220877,-0.9524372816
1.9103233814,0.1812039465,-0.9777739644
1.9203269482,0.1319169104,-0.9942255020
1.9303305149,0.0789378658,-1.0000000000
1.9403340816,0.0244604927,-0.9940909743
1.9503376484,-0.0288375951,-0.9766899943
1.9603412151,-0.0787335932,-0.9492744803
1.9703447819,-0.1240009367,-0.9138734341
1.9803483486,-0.1642855853,-0.8723415136
1.9903519154,-0.1997309327,-0.8261951208
2.0003554821,-0.2306867242,-0.7764320970
2.0103590488,-0.2575486898,-0.7239297628
2.0203626156,-0.2806901038,-0.6692158580
2.0303661823,-0.3004384935,-0.6126895547
2.0403697491,-0.3170698583,-0.5547023416
2.0503733158,-0.3308145106,-0.4956209064
2.0603768826,-0.3418620527,-0.4352570176
2.0703804493,-0.3503679633,-0.3743526936
2.0803840160,-0.3564581871,-0.3126302958
2.0903875828,-0.3602360189,-0.2502268553
2.1003911495,-0.3617867529,-0.1877295226
2.1103947163,-0.3611775339,-0.1251929104
2.1203982830,-0.3584663570,-0.0626017526
2.1304018497,-0.3536994457,0.0002368490
2.1404054165,-0.3469188809,0.0630745143
2.1504089832,-0.3381620049,0.1256628782
2.1604125500,-0.3274655938,0.1876056045
2.1704161167,-0.3148664236,0.2489572614
2.1804196835,-0.3004040718,0.3093248904
2.1904232502,-0.2841220498,0.3684699237
2.2004268169,-0.2660701871,0.4261585474
2.2104303837,-0.2463067770,0.4821627736
2.2204339504,-0.2248954922,0.5353190899
2.2304375172,-0.2019096315,0.5857941508
2.2404410839,-0.1774303168,0.6340920329
2.2504446507,-0.1515481621,0.6800331473
2.2604482174,-0.1243617833,0.7234467864
2.2704517841,-0.0959780589,0.7641716003
2.2804553509,-0.0665110350,0.8018791080
2.2904589176,-0.0360801183,0.8357527852
2.3004624844,-0.0048082918,0.8667113185
2.3104660511,0.0271782111,0.8946466446
2.3204696178,0.0597510040,0.9192527533
2.3304731846,0.0927817523,0.9402423501
2.3404767513,0.1261439025,0.9581604004
2.3504803181,0.1597110629,0.9729484320
2.3604838848,0.1933636665,0.9845580459
2.3704874516,0.2269799560,0.9929513335
2.3804910183,0.2604458928,0.9981009364
2.3904945850,0.2936643958,0.9999865294
2.4004981518,0.3265172839,0.9987469316
2.4105017185,0.3589145243,0.9944584966
2.4205052853,0.3907723725,0.9871342778
2.4305088520,0.4220145941,0.9767967463
2.4405124187,0.4525608718,0.9639613032
2.4505159855,0.4823430181,0.9484024048
2.4605195522,0.5113036633,0.9301446080
2.4705231190,0.5393928885,0.9092397094
2.4805266857,0.5665614605,0.8857473731
2.4905302525,0.5927622318,0.8597343564
2.5005338192,0.6179591417,0.8312746882
2.5105373859,0.6421349645,0.8004494309
2.5205409527,0.6652509570,0.7673462033
2.5305445194,0.6872888803,0.7320592999
2.5405480862,0.7082358599,0.6946890354
2.5505516529,0.7280815840,0.6553419232
2.5605552197,0.7468142509,0.6141297817
2.5705587864,0.7644267678,0.5711699724
2.5805623531,0.7809312344,0.5265846848
2.5905659199,0.7963217497,0.4805008769
2.6005694866,0.8106108308,0.4330496788
2.6105730534,0.8238108158,0.3843660653
2.6205766201,0.8359339833,0.3356974423
2.6305801868,0.8470050097,0.2868131995
2.6405837536,0.8570411205,0.2371700108
2.6505873203,0.8660759330,0.1868992150
2.6605908871,0.8741354942,0.1361338347
2.6705944538,0.8812476993,0.0850082338
2.6805980206,0.8874395490,0.0336576812
2.6906015873,0.8927376270,-0.0177819375
2.7006051540,0.8971806765,-0.0691745058
2.7106087208,0.9007842541,-0.1191702113
2.7206122875,0.9035735130,-0.1681923121
2.7306158543,0.9055709243,-0.2168016881
2.7406194210,0.9067862630,-0.2639584243
2.7506229877,0.9072272182,-0.3095881939
2.7606265545,0.9068993926,-0.3545155823
2.7706301212,0.9057898521,-0.3986386657
2.7806336880,0.9038970470,-0.4408115745
2.7906372547,0.9011831880,-0.4813841879
2.8006408215,0.8976334929,-0.5209502578
2.8106443882,0.8931981921,-0.5594270229
2.8206479549,0.8878313899,-0.5967341065
2.8306515217,0.8814753294,-0.6327934861
2.8406550884,0.8740533590,-0.6681061387
2.8506586552,0.8654952645,-0.7027791739
2.8606622219,0.8556937575,-0.7358577847
2.8706657887,0.8445376754,-0.7681304216
2.8806693554,0.8319097757,-0.7990108132
2.8906729221,0.8176501393,-0.8288758993
2.9006764889,0.8015885949,-0.8565475941
2.9106800556,0.7835236192,-0.8828048706
2.9206836224,0.7632179856,-0.9076541066
2.9306871891,0.7403925061,-0.9302000403
2.9406907558,0.7147135735,-0.9505854249
2.9506943226,0.6857885718,-0.9682915807
2.9606978893,0.6531492472,-0.9828408360
2.9707014561,0.6162510514,-0.9934305549
2.9807050228,0.5744872689,-0.9992418289
2.9907085896,0.5272576809,-0.9991022944
3.0007121563,0.4741356373,-0.9916275740
3.0107157230,0.4152147770,-0.9754579067
3.0207192898,0.3515515924,-0.9496500492
3.0307228565,0.2853100002,-0.9147705436
3.0407264233,0.2191615105,-0.8724516630
3.0507299900,0.1552776098,-0.8251633644
3.0607335567,0.0948585495,-0.7750763893
3.0707371235,0.0382921211,-0.7237223387
3.0807406902,-0.0144948345,-0.6721050739
3.0907442570,-0.0637739226,-0.6208604574
3.1007478237,-0.1098740846,-0.5704954863
3.1107513905,-0.1531185359,-0.5214331150
3.1207549572,-0.1938017160,-0.4730708003
3.1307585239,-0.2321822941,-0.4265610576
3.1407620907,-0.2684851289,-0.3806984723
3.1507656574,-0.3029040992,-0.3370658159
3.1607692242,-0.3356090784,-0.2939674854
3.1707727909,-0.3667432368,-0.2526413500
3.1807763577,-0.3964349627,-0.2131723762
3.1907799244,-0.4247949123,-0.1740359813
3.2007834911,-0.4519183636,-0.1367230415
3.2107870579,-0.4778886735,-0.1012295112
3.2207906246,-0.5027827024,-0.0670549050
3.2307941914,-0.5266628861,-0.0332074724
3.2407977581,-0.5495921373,-0.0010509131
3.2508013248,-0.5716089606,0.0294318963
3.2608048916,-0.5927550793,0.0580423474
3.2708084583,-0.6130833030,0.0865481943
3.2808120251,-0.6326025128,0.1140795201
3.2908155918,-0.6513560414,0.1403215826
3.3008191586,-0.6693552732,0.1648016870
3.3108227253,-0.6866121888,0.1879593879
3.3208262920,-0.7031568885,0.2103660554
3.3308298588,-0.7189851403,0.2326627523
3.3408334255,-0.7341058850,0.2543250322
3.3508369923,-0.7485380769,0.2745383680
3.3608405590,-0.7622688413,0.2942747176
3.3708441257,-0.7753193974,0.3124309182
3.3808476925,-0.7876830101,0.3304736614
3.3908512592,-0.7993657589,0.3474379480
3.4008548260,-0.8103777766,0.3634667099
3.4108583927,-0.8207265139,0.3793886006
3.4208619595,-0.8304192424,0.3951989114
3.4308655262,-0.8394673467,0.4108929932
3.4408690929,-0.8478873968,0.4264662564
3.4508726597,-0.8556858897,0.4419140816
3.4608762264,-0.8628750443,0.4572319686
3.4708797932,-0.8694862723,0.4724153876
3.4808833599,-0.8755390644,0.4874598682
3.4908869267,-0.8810389638,0.5023609996
3.5008904934,-0.8860043883,0.5171144009
3.5108940601,-0.8904579878,0.5317157507
3.5208976269,-0.8944333196,0.5461606979
3.5309011936,-0.8979293704,0.5604450107
3.5409047604,-0.9009631276,0.5745645761
3.5509083271,-0.9035670757,0.5885151029
3.5609118938,-0.9057441354,0.6022925973
3.5709154606,-0.9074979424,0.6158930063
3.5809190273,-0.9088510871,0.6293122172
3.5909225941,-0.9098166227,0.6425464153
3.6009261608,-0.9103865623,0.6555916071
3.6109297276,-0.9105649590,0.6684440374
3.6209332943,-0.9103724360,0.6810998917
3.6309368610,-0.9097892642,0.6935554743
3.6409404278,-0.9088123441,0.7058070302
3.6509439945,-0.9074521661,0.7180196643
3.6609475613,-0.9056915641,0.7311508656
3.6709511280,-0.9035101533,0.7440165281
3.6809546947,-0.9009053707,0.7566121221
3.6909582615,-0.8978722692,0.7689330578
3.7009618282,-0.8943775892,0.7809747458
3.7109653950,-0.8904016614,0.7927329540
3.7209689617,-0.8859437108,0.8047828078
3.7309725285,-0.8809608221,0.8170462251
3.7409760952,-0.8754262328,0.8289507627
3.7509796619,-0.8693228364,0.8404911160
3.7609832287,-0.8626276851,0.8517382145
3.7709867954,-0.8552939892,0.8634952307
3.7809903622,-0.8472887874,0.8748007417
3.7909939289,-0.8385998011,0.8856489658
3.8009974957,-0.8291738629,0.8960341215
3.8110010624,-0.8189878464,0.9059509039
3.8210046291,-0.8079988956,0.9153940082
3.8310081959,-0.7961778641,0.9250795245
3.8410117626,-0.7834845185,0.9342020154
3.8510153294,-0.7698901296,0.9431618452
3.8610188961,-0.7553564906,0.9516906142
3.8710224628,-0.7398607731,0.9598477483
3.8810260296,-0.7233627439,0.9674723744
3.8910295963,-0.7058491707,0.9743067622
3.9010331631,-0.6872889400,0.9803452492
3.9110367298,-0.6676635146,0.9858930111
3.9210402966,-0.6469602585,0.9906291962
3.9310438633,-0.6251744032,0.9945328832
3.9410474300,-0.6023008823,0.9975064993
3.9510509968,-0.5783429146,0.9993399382
3.9610545635,-0.5533156395,0.9999979138
3.9710581303,-0.5272401571,0.9994163513
3.9810616970,-0.5001371503,0.9974355698
3.9910652637,-0.4720515907,0.9939095974
4.0010685921,-0.4430263937,0.9887056947
4.0110721588,-0.4131262004,0.9819188714
4.0210757256,-0.3824138045,0.9731964469
4.0310792923,-0.3509660065,0.9623979330
4.0410828590,-0.3188821375,0.9492058754
4.0510864258,-0.2862455249,0.9338291883
4.0610899925,-0.2531935573,0.9164998531
4.0710935593,-0.2198166251,0.8972542286
4.0810971260,-0.1862513423,0.8749899268
4.0911006927,-0.1526274532,0.8499411345
4.1011042595,-0.1190892309,0.8228067160
4.1111078262,-0.0857793614,0.7913604975
4.1211113930,-0.0528467633,0.7576329708
4.1311149597,-0.0204418544,0.7214800715
4.1411185265,0.0112855854,0.6807413101
4.1511220932,0.0421861410,0.6377787590
4.1611256599,0.0721142292,0.5927327871
4.1711292267,0.1009306684,0.5457504392
4.1811327934,0.1285037249,0.4969853163
4.1911363602,0.1547100544,0.4465966523
4.2011399269,0.1794364899,0.3947490752
4.2111434937,0.2025794834,0.3401989937
4.2211470604,0.2240448743,0.2822650969
4.2311506271,0.2437463552,0.2232820839
4.2411541939,0.2616070509,0.1634692103
4.2511577606,0.2775593400,0.1030487642
4.2611613274,0.2915394008,0.0422453247
4.2711648941,0.3034916520,-0.0211007465
4.2811684608,0.3133603036,-0.0857817605
4.2911720276,0.3210904002,-0.1501028687
4.3011755943,0.3266233504,-0.2137942016
4.3111791611,0.3298971653,-0.2767534852
4.3211827278,0.3308401704,-0.3419675529
4.3311862946,0.3293671012,-0.4055731297
4.3411898613,0.3253780305,-0.4672710896
4.3511934280,0.3187503219,-0.5267711878
4.3611969948,0.3093365133,-0.5849606395
4.3712005615,0.2969581783,-0.6421030164
4.3812041283,0.2813972533,-0.6984497309
4.3912076950,0.2623924315,-0.7528943419
4.4012112617,0.2396370173,-0.8030984998
4.4112148285,0.2127839327,-0.8506953716
4.4212183952,0.1814744025,-0.8944740295
4.4312219620,0.1454117447,-0.9321524501
4.4412255287,0.1045154631,-0.9635828137
4.4512290955,0.0592050478,-0.9860082269
4.4612326622,0.0107101165,-0.9981671572
4.4712362289,-0.0388600305,-0.9987621903
4.4812397957,-0.0870140120,-0.9877978563
4.4912433624,-0.1317380071,-0.9665769935
4.5012469292,-0.1719177812,-0.9365199804
4.5112504959,-0.2072200775,-0.9000630975
4.5212540627,-0.2377719134,-0.8574864864
4.5312576294,-0.2638909817,-0.8112587333
4.5412611961,-0.2859427929,-0.7619205117
4.5512647629,-0.3042738438,-0.7085185647
4.5612683296,-0.3191882968,-0.6531333923
4.5712718964,-0.3309428692,-0.5966404676
4.5812754631,-0.3397511542,-0.5392329097
4.5912790298,-0.3457882106,-0.4802415669
4.6012825966,-0.3491971493,-0.4189913869
4.6112861633,-0.3500955105,-0.3557704389
4.6212897301,-0.3485812843,-0.2908761501
4.6312932968,-0.3447360098,-0.2281064093
4.6412968636,-0.3386273980,-0.1645949632
4.6513004303,-0.3303168118,-0.1003929526
4.6613039970,-0.3198578954,-0.0357697271
4.6713075638,-0.3073056936,0.0277700201
4.6813111305,-0.2927139103,0.0886312574
4.6913146973,-0.2761376798,0.1491630822
4.7013182640,-0.2576394677,0.2091405094
4.7113218307,-0.2372877896,0.2683406472
4.7213253975,-0.2151609808,0.3265434206
4.7313289642,-0.1913461238,0.3807899654
4.7413325310,-0.1659400016,0.4329958558
4.7513360977,-0.1390485018,0.4837872684
4.7613396645,-0.1107886061,0.5329982638
4.7713432312,-0.0812870041,0.5804681182
4.7813467979,-0.0506796651,0.6260417104
4.7913503647,-0.0191103332,0.6695701480
4.8013539314,0.0132710421,0.7097271681
4.8113574982,0.0463115983,0.7462849617
4.8213610649,0.0798576251,0.7807189822
4.8313646317,0.1137543470,0.8113944530
4.8413681984,0.1478505731,0.8393440247
4.8513717651,0.1819978654,0.8648703694
4.8613753319,0.2160520703,0.8869147301
4.8713788986,0.2498841286,0.9071046114
4.8813824654,0.2833543718,0.9253978133
