0,1,2
0.0,-1.013279e-06,-0.0027908394
0.01,-2.682209e-06,-0.00392261
0.02,-9.894371e-06,-0.0063924924
0.03,-2.9861927e-05,-0.010099236
0.04,-7.265806e-05,-0.014909937
0.049999997,-0.0001513362,-0.020733777
0.06,-0.00028133392,-0.027531732
0.07,-0.0004810691,-0.03528659
0.08,-0.0007712841,-0.043979257
0.089999996,-0.001175344,-0.053592358
0.099999994,-0.0017192364,-0.06412549
0.11,-0.0024319887,-0.07560072
0.12,-0.0033464432,-0.088057116
0.13,-0.00449878,-0.10153893
0.14,-0.0059280396,-0.11607917
0.14999999,-0.0076755285,-0.13169521
0.16,-0.009783804,-0.14838614
0.17,-0.012295961,-0.16613822
0.17999999,-0.015254617,-0.18492635
0.19,-0.018702507,-0.2047276
0.19999999,-0.02268064,-0.22551697
0.21,-0.027229726,-0.24727899
0.22,-0.03238833,-0.27000082
0.22999999,-0.038193762,-0.29367748
0.24,-0.044680238,-0.31831038
0.25,-0.051879525,-0.34390974
0.26,-0.059819818,-0.3704905
0.26999998,-0.06852478,-0.3980735
0.28,-0.07801318,-0.4266817
0.29,-0.08829838,-0.4563351
0.29999998,-0.09938645,-0.48704726
0.31,-0.111276984,-0.51882154
0.32,-0.12396103,-0.5516532
0.32999998,-0.13742179,-0.5855303
0.34,-0.1516347,-0.6204422
0.35,-0.16656655,-0.65638137
0.35999998,-0.18217748,-0.6933496
0.37,-0.19842076,-0.73135626
0.38,-0.21524394,-0.7704126
0.39,-0.2325911,-0.8105295
0.39999998,-0.25040317,-0.85171044
0.41,-0.2686174,-0.8939516
0.42,-0.2871675,-0.9372413
0.42999998,-0.30598152,-0.98156595
0.44,-0.32498044,-1.0269101
0.45,-0.34407705,-1.0732576
0.45999998,-0.3631773,-1.1205878
0.47,-0.38218075,-1.1688652
0.48,-0.40098047,-1.2180392
0.48999998,-0.41946834,-1.2680397
0.5,-0.43752974,-1.3187797
0.51,-0.45504016,-1.3701628
0.52,-0.4718562,-1.4220905
0.53,-0.48780227,-1.4744548
0.53999996,-0.50265896,-1.5271163
0.55,-0.5161593,-1.5798553
0.56,-0.5279921,-1.632314
0.57,-0.5378163,-1.683962
0.58,-0.5452733,-1.7340996
0.59,-0.54997265,-1.7818816
0.59999996,-0.5514419,-1.8262691
0.61,-0.54907596,-1.8658059
0.62,-0.5421985,-1.8983496
0.63,-0.5303658,-1.921355
0.64,-0.5138404,-1.9328575
0.65,-0.4937692,-1.9320363
0.65999997,-0.47165418,-1.9193815
0.66999996,-0.4486383,-1.8968422
0.68,-0.42547616,-1.8668532
0.69,-0.40272412,-1.8314271
0.7,-0.38072807,-1.7920737
0.71,-0.35964218,-1.7499332
0.71999997,-0.3394929,-1.7058544
0.72999996,-0.32023445,-1.6604552
0.74,-0.30178642,-1.6141931
0.75,-0.28406087,-1.567417
0.76,-0.26697564,-1.5204022
0.77,-0.2504633,-1.4733708
0.78,-0.23447019,-1.426502
0.78999996,-0.21895516,-1.3799393
0.79999995,-0.20388556,-1.3337951
0.81,-0.18923563,-1.288156
0.82,-0.17498332,-1.2430921
0.83,-0.16110975,-1.1986547
0.84,-0.14759988,-1.1548898
0.84999996,-0.13444036,-1.1118342
0.85999995,-0.121622026,-1.0695214
0.87,-0.10913688,-1.0279801
0.88,-0.09698063,-0.98722994
0.89,-0.08515108,-0.94728506
0.9,-0.0736506,-0.9081533
0.90999997,-0.06248343,-0.8698333
0.91999996,-0.051657796,-0.8323184
0.93,-0.04118532,-0.7955985
0.94,-0.031080902,-0.75966346
0.95,-0.021361887,-0.72450125
0.96,-0.012048423,-0.69010305
0.96999997,-0.0031625628,-0.656468
0.97999996,0.005273521,-0.62359655
0.98999995,0.013237417,-0.59149706
1.0,0.020706594,-0.5601863
1.01,0.027661383,-0.529686
1.02,0.034084857,-0.50002193
1.03,0.03996253,-0.47122702
1.04,0.045285642,-0.443336
1.05,0.05004996,-0.41638297
1.06,0.054256856,-0.3904037
1.0699999,0.057913303,-0.3654331
1.0799999,0.061031878,-0.34149686
1.09,0.06363112,-0.31862047
