0,1,2
0.0,1.005214,-0.0010131784
0.01,1.0052938,0.0021043364
0.02,1.0053028,0.0052235723
0.03,1.0052384,0.008345665
0.04,1.0050968,0.011472223
0.049999997,1.0048738,0.0146051515
0.06,1.0045633,0.017746
0.07,1.0041615,0.020896109
0.08,1.003663,0.024055941
0.089999996,1.003064,0.027225701
0.099999994,1.0023625,0.030404752
0.11,1.0015564,0.033592068
0.12,1.0006448,0.03678599
0.13,0.99962705,0.03998524
0.14,0.99850446,0.04318838
0.14999999,0.99727637,0.046394207
0.16,0.9959447,0.0496023
0.17,0.99450964,0.052812107
0.17999999,0.9929717,0.05602389
0.19,0.9913314,0.05923769
0.19999999,0.98958856,0.062454537
0.21,0.9877427,0.06567486
0.22,0.98579377,0.06889912
0.22999999,0.9837418,0.07212769
0.24,0.98158556,0.07536124
0.25,0.97932416,0.07859951
0.26,0.9769576,0.08184263
0.26999998,0.97448534,0.085090086
0.28,0.9719072,0.088341326
0.29,0.969222,0.09159591
0.29999998,0.9664301,0.09485295
0.31,0.9635306,0.098112054
0.32,0.9605238,0.10137198
0.32999998,0.9574093,0.1046323
0.34,0.9541864,0.10789227
0.35,0.9508546,0.111151494
0.35999998,0.9474134,0.11440914
0.37,0.94386226,0.11766488
0.38,0.94020087,0.120918415
0.39,0.93642706,0.12416916
0.39999998,0.9325411,0.12741707
0.41,0.9285411,0.13066182
0.42,0.9244266,0.1339031
0.42999998,0.92019576,0.13714059
0.44,0.9158476,0.14037392
0.45,0.91138023,0.14360286
0.45999998,0.90679353,0.14682706
0.47,0.90208477,0.15004578
0.48,0.8972532,0.15325877
0.48999998,0.89229816,0.15646523
0.5,0.8872172,0.15966463
0.51,0.8820101,0.16285586
0.52,0.8766747,0.1660385
0.53,0.87121105,0.16921136
0.53999996,0.86561686,0.17237355
0.55,0.8598914,0.17552428
0.56,0.8540342,0.17866199
0.57,0.8480434,0.1817855
0.58,0.8419186,0.1848941
0.59,0.83565784,0.18798645
0.59999996,0.82926077,0.19106093
0.61,0.8227258,0.19411664
0.62,0.8160522,0.19715223
0.63,0.8092379,0.20016609
0.64,0.80228156,0.20315737
0.65,0.79518193,0.20612432
0.65999997,0.7879369,0.20906588
0.66999996,0.78054476,0.21198036
0.68,0.7730026,0.21486644
0.69,0.7653091,0.21772286
0.7,0.757461,0.22054808
0.71,0.7494555,0.22334035
