t,x,y
0.0000000000,1.0000000000,0.0000000000
0.0099999998,0.9999497533,0.0029999502
0.0199999996,0.9997982979,0.0059995945
0.0299999993,0.9995459318,0.0089986436
0.0399999991,0.9991920590,0.0119967759
0.0499999970,0.9987372160,0.0149936900
0.0599999987,0.9981811643,0.0179890934
0.0700000003,0.9975240231,0.0209826566
0.0799999982,0.9967653155,0.0239740908
0.0899999961,0.9959051013,0.0269630793
0.0999999940,0.9949429035,0.0299493205
0.1099999994,0.9938789010,0.0329324603
0.1199999973,0.9927128553,0.0359122828
0.1299999952,0.9914446473,0.0388883837
0.1400000006,0.9900740385,0.0418604426
0.1499999911,0.9886004329,0.0448281579
0.1599999964,0.9870238304,0.0477912016
0.1700000018,0.9853438139,0.0507492423
0.1799999923,0.9835601449,0.0537019446
0.1899999976,0.9816726446,0.0566489734
0.1999999881,0.9796807170,0.0595899969
0.2099999934,0.9775837660,0.0625246465
0.2199999988,0.9753816724,0.0654525459
0.2299999893,0.9730744362,0.0683734193
0.2399999946,0.9706614614,0.0712867454
0.2500000000,0.9681421518,0.0741923228
0.2599999905,0.9655159116,0.0770897642
0.2699999809,0.9627823830,0.0799786076
0.2800000012,0.9599408507,0.0828584656
0.2899999917,0.9569909573,0.0857289657
0.2999999821,0.9539319873,0.0885897353
0.3100000024,0.9507634640,0.0914403498
0.3199999928,0.9474849105,0.0942802429
0.3299999833,0.9440952539,0.0971092284
0.3400000036,0.9405941367,0.0999266133
0.3499999940,0.9369804263,0.1027321815
0.3599999845,0.9332536459,0.1055253223
0.3700000048,0.9294129014,0.1083055586
0.3799999952,0.9254579544,0.1110724285
0.3899999857,0.9213873744,0.1138254404
0.3999999762,0.9172002673,0.1165640280
0.4099999964,0.9128955603,0.1192878038
0.4199999869,0.9084733129,0.1219960600
0.4299999774,0.9039314389,0.1246883571
0.4399999976,0.8992689848,0.1273640990
0.4499999881,0.8944857717,0.1300225854
0.4599999785,0.8895795941,0.1326632500
0.4699999988,0.8845502138,0.1352854669
0.4799999893,0.8793956041,0.1378885508
0.4899999797,0.8741152883,0.1404719949
0.5000000000,0.8687068820,0.1430349797
0.5099999905,0.8631705642,0.1455765814
0.5199999809,0.8575036526,0.1480964273
0.5299999714,0.8517047167,0.1505933404
0.5399999619,0.8457733393,0.1530668885
0.5500000119,0.8397070169,0.1555159539
0.5600000024,0.8335041404,0.1579397023
0.5699999928,0.8271632791,0.1603373438
0.5799999833,0.8206823468,0.1627078652
0.5899999738,0.8140594363,0.1650502682
0.5999999642,0.8072929978,0.1673634201
0.6100000143,0.8003807664,0.1696464717
0.6200000048,0.7933205366,0.1718980670
0.6299999952,0.7861101627,0.1741172373
0.6399999857,0.7787469625,0.1763026416
0.6499999762,0.7712292671,0.1784529090
0.6599999666,0.7635539174,0.1805666685
0.6699999571,0.7557187676,0.1826426089
0.6800000072,0.7477204800,0.1846792400
0.6899999976,0.7395566106,0.1866748482
0.6999999881,0.7312238812,0.1886278391
0.7099999785,0.7227189541,0.1905364543
0.7199999690,0.7140385509,0.1923989058
0.7299999595,0.7051793337,0.1942130029
0.7400000095,0.6961373687,0.1959768534
0.7500000000,0.6869086623,0.1976881325
0.7599999905,0.6774892807,0.1993444264
0.7699999809,0.6678751707,0.2009434402
0.7799999714,0.6580609679,0.2024823278
0.7899999619,0.6480421424,0.2039583176
0.7999999523,0.6378136277,0.2053681314
0.8100000024,0.6273700595,0.2067087293
0.8199999928,0.6167057157,0.2079765499
0.8299999833,0.6058139801,0.2091677040
0.8399999738,0.5946885347,0.2102780938
0.8499999642,0.5833222270,0.2113034427
0.8599999547,0.5717076063,0.2122387737
0.8700000048,0.5598367453,0.2130788863
0.8799999952,0.5477009416,0.2138181776
0.8899999857,0.5352908969,0.2144505382
0.8999999762,0.5225970149,0.2149689645
0.9099999666,0.5096083283,0.2153660208
0.9199999571,0.4963131249,0.2156336010
0.9299999475,0.4826988578,0.2157624960
0.9399999976,0.4687518179,0.2157425135
0.9499999881,0.4544569850,0.2155624628
0.9599999785,0.4397976696,0.2152095437
0.9699999690,0.4247560203,0.2146692872
0.9799999595,0.4093115926,0.2139255404
0.9899999499,0.3934426010,0.2129597664
1.0000000000,0.3771242201,0.2117505521
1.0099999905,0.3603286147,0.2102731466
1.0199999809,0.3430244327,0.2084987015
1.0299999714,0.3251763284,0.2063935101
1.0399999619,0.3067438900,0.2039168775
1.0499999523,0.2876803279,0.2010204941
1.0599999428,0.2679314613,0.1976444721
1.0699999332,0.2474337816,0.1937152892
1.0799999237,0.2261119634,0.1891397983
1.0899999142,0.2038762122,0.1837974936
1.1000000238,0.1806165576,0.1775295883
1.1100000143,0.1561984420,0.1701183915
1.1200000048,0.1304538399,0.1612540632
1.1299999952,0.1031725481,0.1504739821
1.1399999857,0.0740958974,0.1370377541
1.1499999762,0.0429416634,0.1196507066
1.1599999666,0.0096167009,0.0957341939
1.1699999571,-0.0241935980,0.0592212453
1.1799999475,-0.0418251790,-0.0017746682
1.1899999380,-0.0084372181,-0.0580897145
1.1999999285,0.0371533893,-0.0827305764
1.2099999189,0.0778635889,-0.0938799232
1.2200000286,0.1139315143,-0.0991105512
1.2300000191,0.1464430988,-0.1011659577
1.2400000095,0.1761912555,-0.1012827009
1.2500000000,0.2037242204,-0.1001126319
1.2599999905,0.2294300497,-0.0980378613
1.2699999809,0.2535941601,-0.0953002721
1.2799999714,0.2764317393,-0.0920617580
1.2899999619,0.2981103659,-0.0884357169
1.2999999523,0.3187635839,-0.0845043510
1.3099999428,0.3384987414,-0.0803293660
1.3199999332,0.3574063480,-0.0759569854
1.3299999237,0.3755603433,-0.0714239851
1.3399999142,0.3930239975,-0.0667593256
1.3500000238,0.4098509848,-0.0619863383
1.3600000143,0.4260881841,-0.0571239404
1.3700000048,0.4417761564,-0.0521877445
1.3799999952,0.4569505453,-0.0471907854
1.3899999857,0.4716430902,-0.0421439409
1.3999999762,0.4858818352,-0.0370564461
1.4099999666,0.4996916652,-0.0319361873
1.4199999571,0.5130956173,-0.0267899092
1.4299999475,0.5261138678,-0.0216234177
1.4399999380,0.5387649536,-0.0164417922
1.4499999285,0.5510647297,-0.0112494268
1.4599999189,0.5630297065,-0.0060501699
1.4699999094,0.5746736526,-0.0008474351
1.4800000191,0.5860092640,0.0043557798
1.4900000095,0.5970486403,0.0095568141
1.5000000000,0.6078028679,0.0147533091
1.5099999905,0.6182823181,0.0199431591
1.5199999809,0.6284958720,0.0251244530
1.5299999714,0.6384528875,0.0302955136
1.5399999619,0.6481615901,0.0354548097
1.5499999523,0.6576298475,0.0406009406
1.5599999428,0.6668643951,0.0457326844
1.5699999332,0.6758726835,0.0508488864
1.5799999237,0.6846605539,0.0559485182
1.5899999142,0.6932340860,0.0610306561
1.5999999046,0.7015986443,0.0660944432
1.6100000143,0.7097603083,0.0711390898
1.6200000048,0.7177230716,0.0761638507
1.6299999952,0.7254929543,0.0811680406
1.6399999857,0.7330733538,0.0861511454
1.6499999762,0.7404691577,0.0911125094
1.6599999666,0.7476841211,0.0960515961
1.6699999571,0.7547222972,0.1009680107
1.6799999475,0.7615872025,0.1058612317
1.6899999380,0.7682821751,0.1107309088
1.6999999285,0.7748110890,0.1155766025
1.7099999189,0.7811765075,0.1203979254
1.7199999094,0.7873817682,0.1251944304
1.7299998999,0.7934297323,0.1299661547
1.7400000095,0.7993234396,0.1347124577
1.7500000000,0.8050650954,0.1394331455
1.7599999905,0.8106573224,0.1441279799
1.7699999809,0.8161023259,0.1487967372
1.7799999714,0.8214026093,0.1534390897
1.7899999619,0.8265606761,0.1580547988
1.7999999523,0.8315781951,0.1626436561
1.8099999428,0.8364578485,0.1672054827
1.8199999332,0.8412007093,0.1717400700
1.8299999237,0.8458088636,0.1762471795
1.8399999142,0.8502848148,0.1807266772
1.8499999046,0.8546296954,0.1851783246
1.8599998951,0.8588449359,0.1896019429
1.8700000048,0.8629331589,0.1939973235
1.8799999952,0.8668946028,0.1983644515
1.8899999857,0.8707321286,0.2027030587
1.8999999762,0.8744457364,0.2070129812
1.9099999666,0.8780379295,0.2112939805
1.9199999571,0.8815095425,0.2155459821
1.9299999475,0.8848615289,0.2197689265
1.9399999380,0.8880959749,0.2239624709
1.9499999285,0.8912134767,0.2281264961
1.9599999189,0.8942151666,0.2322610468
1.9699999094,0.8971019983,0.2363658994
1.9799998999,0.8998754621,0.2404405475
1.9899998903,0.9025365114,0.2444853336
2.0000000000,0.9050859809,0.2484998256
2.0099999905,0.9075247049,0.2524839044
2.0199999809,0.9098536372,0.2564378381
2.0299999714,0.9120738506,0.2603608668
2.0399999619,0.9141860604,0.2642528117
2.0499999523,0.9161908627,0.2681137025
2.0599999428,0.9180892110,0.2719439566
2.0699999332,0.9198820591,0.2757427096
2.0799999237,0.9215697646,0.2795097828
2.0899999142,0.9231531620,0.2832451463
2.0999999046,0.9246329665,0.2869491577
2.1099998951,0.9260101318,0.2906210423
2.1199998856,0.9272851348,0.2942607105
2.1299998760,0.9284580946,0.2978680432
2.1399998665,0.9295299053,0.3014428914
2.1499998569,0.9305010438,0.3049854338
2.1599998474,0.9313718081,0.3084950745
2.1699998379,0.9321437478,0.3119716346
2.1799998283,0.9328162670,0.3154148459
2.1900000572,0.9333897829,0.3188248277
2.2000000477,0.9338646531,0.3222010136
2.2100000381,0.9342422485,0.3255435824
2.2200000286,0.9345225692,0.3288522959
2.2300000191,0.9347053170,0.3321269155
2.2400000095,0.9347909689,0.3353672028
2.2500000000,0.9347811341,0.3385728002
2.2599999905,0.9346747994,0.3417435288
2.2699999809,0.9344723225,0.3448792696
2.2799999714,0.9341751933,0.3479797840
2.2899999619,0.9337823987,0.3510448337
2.2999999523,0.9332941771,0.3540741205
2.3099999428,0.9327118993,0.3570674658
2.3199999332,0.9320347905,0.3600246310
2.3299999237,0.9312632084,0.3629453182
2.3399999142,0.9303982854,0.3658293486
2.3499999046,0.9294384122,0.3686761260
2.3599998951,0.9283850193,0.3714857101
2.3699998856,0.9272373915,0.3742579222
2.3799998760,0.9259960055,0.3769924045
2.3899998665,0.9246615171,0.3796888590
2.3999998569,0.9232333899,0.3823468089
2.4099998474,0.9217115045,0.3849658072
2.4199998379,0.9200966954,0.3875459135
2.4299998283,0.9183876514,0.3900865614
2.4400000572,0.9165862203,0.3925879896
2.4500000477,0.9146910310,0.3950493038
2.4600000381,0.9127019644,0.3974701166
2.4700000286,0.9106201530,0.3998500705
2.4800000191,0.9084443450,0.4021893740
2.4900000095,0.9061753750,0.4044870436
2.5000000000,0.9038126469,0.4067427218
2.5099999905,0.9013554454,0.4089566171
2.5199999809,0.8988051414,0.4111276865
2.5299999714,0.8961610794,0.4132556915
2.5399999619,0.8934218287,0.4153404534
2.5499999523,0.8905889988,0.4173810184
2.5599999428,0.8876613379,0.4193776846
2.5699999332,0.8846388459,0.4213292003
2.5799999237,0.8815217614,0.4232357442
2.5899999142,0.8783087730,0.4250964224
2.5999999046,0.8750006557,0.4269108176
