t,x,y
0.0000000000,1.0000000000,0.0000000437
0.0001000000,1.0000000000,0.0000000437
0.0100999903,0.9999998808,0.0000000437
0.0200999733,0.9999979734,0.0000000437
0.0300999563,0.9999897480,0.0000000437
0.0401001051,0.9999676943,0.0000000437
0.0501002744,0.9999212623,0.0000000437
0.0601004437,0.9998369813,0.0000000437
0.0701006129,0.9996982813,0.0000000437
0.0801007822,0.9994857311,0.0000000437
0.0901009515,0.9991769791,0.0000000437
0.1001011208,0.9987467527,-0.0000235597
0.1101012900,0.9981669188,-0.0000627796
0.1201014593,0.9974067807,-0.0001288215
0.1301016212,0.9964329004,-0.0002154867
0.1401017904,0.9952095747,-0.0003509084
0.1501019597,0.9936987758,-0.0005436699
0.1601021290,0.9918606877,-0.0008081952
0.1701022983,0.9896535873,-0.0011703528
0.1801024675,0.9870347381,-0.0016517194
0.1901026368,0.9839603305,-0.0022844812
0.2001028061,0.9803863764,-0.0030999889
0.2101029754,0.9762687683,-0.0041372222
0.2201031446,0.9715639949,-0.0054401648
0.2301033139,0.9662299752,-0.0070562530
0.2401034832,0.9602256417,-0.0090379240
0.2501036227,0.9535128474,-0.0114427255
0.2601023018,0.9460555911,-0.0143308062
0.2701009810,0.9378211498,-0.0177671667
0.2800996602,0.9287800193,-0.0218198430
0.2900983393,0.9189063907,-0.0265586898
0.3000970185,0.9081782103,-0.0320547298
0.3100956976,0.8965766430,-0.0383796133
0.3200943768,0.8840861320,-0.0456055291
0.3300930560,0.8706942201,-0.0538026802
0.3400917351,0.8563906550,-0.0630383193
0.3500904143,0.8411669731,-0.0733791441
0.3600890934,0.8250160813,-0.0848838985
0.3700877726,0.8079303503,-0.0976132974
0.3800864518,0.7899020314,-0.1116190404
0.3900851309,0.7709214687,-0.1269479245
0.4000838101,0.7509766221,-0.1436432451
0.4100824893,0.7300521731,-0.1617414057
0.4200811684,0.7081283927,-0.1812741607
0.4300798476,0.6851800680,-0.2022680789
0.4400785267,0.6611763835,-0.2247456759
0.4500772059,0.6360788941,-0.2487242371
0.4600758851,0.6098420620,-0.2742175460
0.4700745642,0.5824106336,-0.3012321591
0.4800732434,0.5537194610,-0.3297734559
0.4900719225,0.5236914158,-0.3598414660
0.5000706315,0.4922366440,-0.3914310634
0.5100722909,0.4592498839,-0.4245330691
0.5200739503,0.4246078730,-0.4591313303
0.5300756097,0.3881673813,-0.4951997101
0.5400772691,0.3497602940,-0.5327028036
0.5500789285,0.3091900647,-0.5715867877
0.5600805879,0.2662279606,-0.6117730141
0.5700822473,0.2206071466,-0.6531466842
0.5800839067,0.1720208377,-0.6955340505
0.5900855660,0.1201260835,-0.7386696935
0.6000872254,0.0645624325,-0.7821437716
0.6100888848,0.0050074616,-0.8253164291
0.6200905442,-0.0586949140,-0.8671941161
0.6300922036,-0.1262836009,-0.9062985778
0.6400938630,-0.1967160255,-0.9406508207
0.6500955224,-0.2679313719,-0.9681084752
0.6600971818,-0.3372139931,-0.9871358275
0.6700988412,-0.4021692872,-0.9974525571
0.6801005006,-0.4614704251,-0.9999228716
0.6901021600,-0.5148277283,-0.9959276319
0.7001038194,-0.5625627637,-0.9868426323
0.7101054788,-0.6052335501,-0.9738179445
0.7201071382,-0.6434358358,-0.9577475786
0.7301087976,-0.6777127981,-0.9393075705
0.7401104569,-0.7085409760,-0.9190063477
0.7501121163,-0.7363246083,-0.8972266316
0.7601137757,-0.7614065409,-0.8742586374
0.7701154351,-0.7840759158,-0.8503228426
0.7801170945,-0.8045808673,-0.8255881071
0.7901187539,-0.8231317997,-0.8001818657
0.8001204133,-0.8399159908,-0.7742010355
0.8101220727,-0.8550930023,-0.7477172613
