0,1,2
0.0,-6.0796738e-06,-0.0058293547
0.01,-9.834766e-06,-0.006896507
0.02,-2.1636486e-05,-0.0091234185
0.03,-4.8458576e-05,-0.012442804
0.04,-0.00010043383,-0.016793143
0.049999997,-0.00019055605,-0.022136163
0.06,-0.0003349781,-0.028461775
0.07,-0.0005527139,-0.03578549
0.08,-0.00086563826,-0.044133186
0.089999996,-0.0012990832,-0.053527877
0.099999994,-0.0018808246,-0.06397613
0.11,-0.0026412606,-0.07547069
0.12,-0.0036132932,-0.08799067
0.13,-0.004831791,-0.101514205
0.14,-0.006334126,-0.11602673
0.14999999,-0.008159697,-0.13152535
0.16,-0.010350466,-0.14801747
0.17,-0.012949467,-0.16550934
0.17999999,-0.016001344,-0.1840105
0.19,-0.019550443,-0.2035174
0.19999999,-0.023640871,-0.22402547
0.21,-0.028315246,-0.2455233
0.22,-0.033614397,-0.26800394
0.22999999,-0.03957647,-0.291466
0.24,-0.046236873,-0.3159165
0.25,-0.05362618,-0.34136447
0.26,-0.061772346,-0.36782658
0.26999998,-0.07069892,-0.39531866
0.28,-0.08042568,-0.42385313
0.29,-0.0909695,-0.45344052
0.29999998,-0.10234189,-0.48408422
0.31,-0.114549875,-0.51578474
0.32,-0.12759161,-0.5485336
0.32999998,-0.14145613,-0.58232045
0.34,-0.15612262,-0.61713374
0.35,-0.17155689,-0.6529603
0.35999998,-0.18771434,-0.68979514
0.37,-0.2045412,-0.7276407
0.38,-0.22197348,-0.7665035
0.39,-0.23994339,-0.80639595
0.39999998,-0.25837976,-0.8473284
0.41,-0.2772112,-0.8893024
0.42,-0.29636788,-0.9323086
0.42999998,-0.3157854,-0.97632957
0.44,-0.33540028,-1.0213398
0.45,-0.3551467,-1.067313
0.45999998,-0.37495017,-1.1142321
0.47,-0.39472067,-1.162089
0.48,-0.41434616,-1.2108772
0.48999998,-0.433695,-1.2605824
0.5,-0.4526189,-1.3111588
0.51,-0.4709629,-1.3625133
0.52,-0.48856893,-1.4144968
0.53,-0.5052681,-1.4669001
0.53999996,-0.5208637,-1.5194752
0.55,-0.53511953,-1.5719402
0.56,-0.5477674,-1.6239724
0.57,-0.5585189,-1.6751621
0.58,-0.56700575,-1.7249663
0.59,-0.5726529,-1.7726661
0.59999996,-0.57472104,-1.8172245
0.61,-0.57268095,-1.8570472
0.62,-0.56636786,-1.8899238
0.63,-0.5554104,-1.913482
0.64,-0.53934836,-1.9258502
0.65,-0.5192097,-1.9260352
0.65999997,-0.49695426,-1.9144404
0.66999996,-0.47372586,-1.8929257
0.68,-0.4501832,-1.8637618
0.69,-0.42688978,-1.8289461
0.7,-0.40420756,-1.7900851
